period,period_date,hospital,outcome,newrel_cases,diagnosis_type
2015Q4,2015-10-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,cured,11,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,cured,11,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,died,1,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,cured,14,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,cured,7,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,cured,7,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,unevaluated,1,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,died,1,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,completed,1,bacteriologically_confirmed
2016Q4,2016-10-01,St Jean De Dieu,cured,5,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2016Q2,2016-04-01,St Jean De Dieu,cured,5,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,completed,1,bacteriologically_confirmed
2016Q3,2016-07-01,St Jean De Dieu,cured,5,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2017Q1,2017-01-01,St Jean De Dieu,cured,6,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2017Q4,2017-10-01,St Jean De Dieu,cured,6,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,failed,1,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2017Q2,2017-04-01,St Jean De Dieu,cured,11,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2017Q3,2017-07-01,St Jean De Dieu,cured,6,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2015Q4,2015-10-01,St Jean De Dieu,died,0,clinically_diagnosed
2015Q4,2015-10-01,St Jean De Dieu,lost,0,clinically_diagnosed
2015Q4,2015-10-01,St Jean De Dieu,completed,8,clinically_diagnosed
2015Q3,2015-07-01,St Jean De Dieu,failed,0,clinically_diagnosed
2015Q3,2015-07-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2015Q3,2015-07-01,St Jean De Dieu,died,0,clinically_diagnosed
2015Q3,2015-07-01,St Jean De Dieu,lost,0,clinically_diagnosed
2015Q3,2015-07-01,St Jean De Dieu,completed,4,clinically_diagnosed
2016Q1,2016-01-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2016Q1,2016-01-01,St Jean De Dieu,died,0,clinically_diagnosed
2016Q1,2016-01-01,St Jean De Dieu,lost,0,clinically_diagnosed
2016Q1,2016-01-01,St Jean De Dieu,completed,12,clinically_diagnosed
2015Q2,2015-04-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2015Q2,2015-04-01,St Jean De Dieu,died,0,clinically_diagnosed
2015Q2,2015-04-01,St Jean De Dieu,lost,0,clinically_diagnosed
2015Q2,2015-04-01,St Jean De Dieu,completed,3,clinically_diagnosed
2015Q1,2015-01-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2015Q1,2015-01-01,St Jean De Dieu,died,0,clinically_diagnosed
2015Q1,2015-01-01,St Jean De Dieu,lost,0,clinically_diagnosed
2015Q1,2015-01-01,St Jean De Dieu,completed,13,clinically_diagnosed
2016Q4,2016-10-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2016Q4,2016-10-01,St Jean De Dieu,died,0,clinically_diagnosed
2016Q4,2016-10-01,St Jean De Dieu,lost,0,clinically_diagnosed
2016Q4,2016-10-01,St Jean De Dieu,completed,4,clinically_diagnosed
2016Q2,2016-04-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2016Q2,2016-04-01,St Jean De Dieu,died,0,clinically_diagnosed
2016Q2,2016-04-01,St Jean De Dieu,lost,0,clinically_diagnosed
2016Q2,2016-04-01,St Jean De Dieu,completed,5,clinically_diagnosed
2016Q3,2016-07-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2016Q3,2016-07-01,St Jean De Dieu,died,0,clinically_diagnosed
2016Q3,2016-07-01,St Jean De Dieu,lost,0,clinically_diagnosed
2016Q3,2016-07-01,St Jean De Dieu,completed,10,clinically_diagnosed
2017Q1,2017-01-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2017Q1,2017-01-01,St Jean De Dieu,died,0,clinically_diagnosed
2017Q1,2017-01-01,St Jean De Dieu,lost,0,clinically_diagnosed
2017Q1,2017-01-01,St Jean De Dieu,completed,2,clinically_diagnosed
2017Q4,2017-10-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2017Q4,2017-10-01,St Jean De Dieu,died,0,clinically_diagnosed
2017Q4,2017-10-01,St Jean De Dieu,lost,0,clinically_diagnosed
2017Q4,2017-10-01,St Jean De Dieu,completed,3,clinically_diagnosed
2017Q2,2017-04-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2017Q2,2017-04-01,St Jean De Dieu,died,0,clinically_diagnosed
2017Q2,2017-04-01,St Jean De Dieu,lost,0,clinically_diagnosed
2017Q2,2017-04-01,St Jean De Dieu,completed,3,clinically_diagnosed
2017Q3,2017-07-01,St Jean De Dieu,unevaluated,0,clinically_diagnosed
2017Q3,2017-07-01,St Jean De Dieu,died,0,clinically_diagnosed
2017Q3,2017-07-01,St Jean De Dieu,lost,0,clinically_diagnosed
2017Q3,2017-07-01,St Jean De Dieu,completed,4,clinically_diagnosed
2015Q4,2015-10-01,Hopital Savalou,failed,1,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,died,1,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,completed,1,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,cured,7,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,failed,1,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,died,1,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2015Q3,2015-07-01,Hopital Savalou,cured,3,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,died,1,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2016Q1,2016-01-01,Hopital Savalou,cured,3,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,died,0,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2015Q2,2015-04-01,Hopital Savalou,cured,7,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,failed,1,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,died,0,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2015Q1,2015-01-01,Hopital Savalou,cured,6,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,died,0,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,completed,1,bacteriologically_confirmed
2016Q4,2016-10-01,Hopital Savalou,cured,3,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,failed,1,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,died,1,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,completed,1,bacteriologically_confirmed
2016Q2,2016-04-01,Hopital Savalou,cured,3,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,died,0,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2016Q3,2016-07-01,Hopital Savalou,cured,6,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,died,0,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,completed,2,bacteriologically_confirmed
2017Q1,2017-01-01,Hopital Savalou,cured,2,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,failed,1,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,died,0,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,completed,0,bacteriologically_confirmed
2017Q4,2017-10-01,Hopital Savalou,cured,4,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,died,0,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,completed,2,bacteriologically_confirmed
2017Q2,2017-04-01,Hopital Savalou,cured,2,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,failed,0,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,unevaluated,0,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,died,2,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,lost,0,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,completed,2,bacteriologically_confirmed
2017Q3,2017-07-01,Hopital Savalou,cured,4,bacteriologically_confirmed
2015Q4,2015-10-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2015Q4,2015-10-01,Hopital Savalou,died,0,clinically_diagnosed
2015Q4,2015-10-01,Hopital Savalou,lost,0,clinically_diagnosed
2015Q4,2015-10-01,Hopital Savalou,completed,0,clinically_diagnosed
2015Q3,2015-07-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2015Q3,2015-07-01,Hopital Savalou,died,1,clinically_diagnosed
2015Q3,2015-07-01,Hopital Savalou,lost,0,clinically_diagnosed
2015Q3,2015-07-01,Hopital Savalou,completed,0,clinically_diagnosed
2016Q1,2016-01-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2016Q1,2016-01-01,Hopital Savalou,died,0,clinically_diagnosed
2016Q1,2016-01-01,Hopital Savalou,lost,0,clinically_diagnosed
2016Q1,2016-01-01,Hopital Savalou,completed,3,clinically_diagnosed
2015Q2,2015-04-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2015Q2,2015-04-01,Hopital Savalou,died,0,clinically_diagnosed
2015Q2,2015-04-01,Hopital Savalou,lost,0,clinically_diagnosed
2015Q2,2015-04-01,Hopital Savalou,completed,0,clinically_diagnosed
2015Q1,2015-01-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2015Q1,2015-01-01,Hopital Savalou,died,0,clinically_diagnosed
2015Q1,2015-01-01,Hopital Savalou,lost,0,clinically_diagnosed
2015Q1,2015-01-01,Hopital Savalou,completed,0,clinically_diagnosed
2016Q4,2016-10-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2016Q4,2016-10-01,Hopital Savalou,died,0,clinically_diagnosed
2016Q4,2016-10-01,Hopital Savalou,lost,0,clinically_diagnosed
2016Q4,2016-10-01,Hopital Savalou,completed,1,clinically_diagnosed
2016Q2,2016-04-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2016Q2,2016-04-01,Hopital Savalou,died,0,clinically_diagnosed
2016Q2,2016-04-01,Hopital Savalou,lost,0,clinically_diagnosed
2016Q2,2016-04-01,Hopital Savalou,completed,0,clinically_diagnosed
2016Q3,2016-07-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2016Q3,2016-07-01,Hopital Savalou,died,0,clinically_diagnosed
2016Q3,2016-07-01,Hopital Savalou,lost,0,clinically_diagnosed
2016Q3,2016-07-01,Hopital Savalou,completed,0,clinically_diagnosed
2017Q1,2017-01-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2017Q1,2017-01-01,Hopital Savalou,died,0,clinically_diagnosed
2017Q1,2017-01-01,Hopital Savalou,lost,0,clinically_diagnosed
2017Q1,2017-01-01,Hopital Savalou,completed,1,clinically_diagnosed
2017Q4,2017-10-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2017Q4,2017-10-01,Hopital Savalou,died,0,clinically_diagnosed
2017Q4,2017-10-01,Hopital Savalou,lost,0,clinically_diagnosed
2017Q4,2017-10-01,Hopital Savalou,completed,1,clinically_diagnosed
