period,period_date,hospital,outcome,newrel_cases,diagnosis_type
2017Q2,2017-04-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2017Q2,2017-04-01,Hopital Savalou,died,0,clinically_diagnosed
2017Q2,2017-04-01,Hopital Savalou,lost,0,clinically_diagnosed
2017Q2,2017-04-01,Hopital Savalou,completed,0,clinically_diagnosed
2017Q3,2017-07-01,Hopital Savalou,unevaluated,0,clinically_diagnosed
2017Q3,2017-07-01,Hopital Savalou,died,0,clinically_diagnosed
2017Q3,2017-07-01,Hopital Savalou,lost,0,clinically_diagnosed
2017Q3,2017-07-01,Hopital Savalou,completed,3,clinically_diagnosed
2015Q4,2015-10-01,CHPP Akron,failed,1,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,died,9,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,lost,0,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,completed,1,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,cured,49,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,failed,1,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,died,8,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,lost,0,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,completed,0,bacteriologically_confirmed
2015Q3,2015-07-01,CHPP Akron,cured,53,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,failed,2,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,unevaluated,1,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,died,5,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,lost,0,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,completed,0,bacteriologically_confirmed
2016Q1,2016-01-01,CHPP Akron,cured,73,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,failed,0,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,unevaluated,1,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,died,2,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,lost,0,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,completed,0,bacteriologically_confirmed
2015Q2,2015-04-01,CHPP Akron,cured,62,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,failed,0,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,died,0,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,lost,0,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,completed,1,bacteriologically_confirmed
2015Q1,2015-01-01,CHPP Akron,cured,59,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,failed,0,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,died,4,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,lost,0,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,completed,1,bacteriologically_confirmed
2016Q4,2016-10-01,CHPP Akron,cured,54,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,failed,2,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,died,6,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,lost,0,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,completed,2,bacteriologically_confirmed
2016Q2,2016-04-01,CHPP Akron,cured,60,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,failed,2,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,died,3,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,lost,0,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,completed,3,bacteriologically_confirmed
2016Q3,2016-07-01,CHPP Akron,cured,46,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,failed,0,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,died,3,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,lost,0,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,completed,6,bacteriologically_confirmed
2017Q1,2017-01-01,CHPP Akron,cured,37,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,failed,0,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,died,5,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,lost,1,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,completed,2,bacteriologically_confirmed
2017Q4,2017-10-01,CHPP Akron,cured,52,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,failed,0,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,died,0,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,lost,0,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,completed,0,bacteriologically_confirmed
2017Q2,2017-04-01,CHPP Akron,cured,36,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,failed,0,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,unevaluated,0,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,died,5,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,lost,0,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,completed,1,bacteriologically_confirmed
2017Q3,2017-07-01,CHPP Akron,cured,36,bacteriologically_confirmed
2015Q4,2015-10-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2015Q4,2015-10-01,CHPP Akron,died,3,clinically_diagnosed
2015Q4,2015-10-01,CHPP Akron,lost,0,clinically_diagnosed
2015Q4,2015-10-01,CHPP Akron,completed,12,clinically_diagnosed
2015Q3,2015-07-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2015Q3,2015-07-01,CHPP Akron,died,0,clinically_diagnosed
2015Q3,2015-07-01,CHPP Akron,lost,0,clinically_diagnosed
2015Q3,2015-07-01,CHPP Akron,completed,9,clinically_diagnosed
2016Q1,2016-01-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2016Q1,2016-01-01,CHPP Akron,died,0,clinically_diagnosed
2016Q1,2016-01-01,CHPP Akron,lost,0,clinically_diagnosed
2016Q1,2016-01-01,CHPP Akron,completed,15,clinically_diagnosed
2015Q2,2015-04-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2015Q2,2015-04-01,CHPP Akron,died,0,clinically_diagnosed
2015Q2,2015-04-01,CHPP Akron,lost,0,clinically_diagnosed
2015Q2,2015-04-01,CHPP Akron,completed,14,clinically_diagnosed
2015Q1,2015-01-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2015Q1,2015-01-01,CHPP Akron,died,1,clinically_diagnosed
2015Q1,2015-01-01,CHPP Akron,lost,0,clinically_diagnosed
2015Q1,2015-01-01,CHPP Akron,completed,11,clinically_diagnosed
2016Q4,2016-10-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2016Q4,2016-10-01,CHPP Akron,died,0,clinically_diagnosed
2016Q4,2016-10-01,CHPP Akron,lost,0,clinically_diagnosed
2016Q4,2016-10-01,CHPP Akron,completed,14,clinically_diagnosed
2016Q2,2016-04-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2016Q2,2016-04-01,CHPP Akron,died,0,clinically_diagnosed
2016Q2,2016-04-01,CHPP Akron,lost,0,clinically_diagnosed
2016Q2,2016-04-01,CHPP Akron,completed,16,clinically_diagnosed
2016Q3,2016-07-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2016Q3,2016-07-01,CHPP Akron,died,0,clinically_diagnosed
2016Q3,2016-07-01,CHPP Akron,lost,0,clinically_diagnosed
2016Q3,2016-07-01,CHPP Akron,completed,16,clinically_diagnosed
2017Q1,2017-01-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2017Q1,2017-01-01,CHPP Akron,died,0,clinically_diagnosed
2017Q1,2017-01-01,CHPP Akron,lost,0,clinically_diagnosed
2017Q1,2017-01-01,CHPP Akron,completed,11,clinically_diagnosed
2017Q4,2017-10-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2017Q4,2017-10-01,CHPP Akron,died,2,clinically_diagnosed
2017Q4,2017-10-01,CHPP Akron,lost,2,clinically_diagnosed
2017Q4,2017-10-01,CHPP Akron,completed,20,clinically_diagnosed
2017Q2,2017-04-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2017Q2,2017-04-01,CHPP Akron,died,0,clinically_diagnosed
2017Q2,2017-04-01,CHPP Akron,lost,0,clinically_diagnosed
2017Q2,2017-04-01,CHPP Akron,completed,14,clinically_diagnosed
2017Q3,2017-07-01,CHPP Akron,unevaluated,0,clinically_diagnosed
2017Q3,2017-07-01,CHPP Akron,died,0,clinically_diagnosed
2017Q3,2017-07-01,CHPP Akron,lost,0,clinically_diagnosed
2017Q3,2017-07-01,CHPP Akron,completed,20,clinically_diagnosed
2015Q4,2015-10-01,CS Abomey-Calavi,failed,2,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,died,4,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,lost,2,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,completed,1,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,cured,40,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,failed,1,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,died,5,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,lost,2,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,completed,3,bacteriologically_confirmed
2015Q3,2015-07-01,CS Abomey-Calavi,cured,43,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,died,3,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,lost,0,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,completed,2,bacteriologically_confirmed
2016Q1,2016-01-01,CS Abomey-Calavi,cured,61,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,died,5,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,lost,1,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,completed,2,bacteriologically_confirmed
2015Q2,2015-04-01,CS Abomey-Calavi,cured,48,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,died,1,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,lost,2,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,completed,1,bacteriologically_confirmed
2015Q1,2015-01-01,CS Abomey-Calavi,cured,42,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,unevaluated,1,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,died,0,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,lost,10,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,completed,11,bacteriologically_confirmed
2016Q4,2016-10-01,CS Abomey-Calavi,cured,35,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,unevaluated,1,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,died,1,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,lost,0,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,completed,0,bacteriologically_confirmed
2016Q2,2016-04-01,CS Abomey-Calavi,cured,48,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,failed,3,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,died,3,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,lost,1,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,completed,4,bacteriologically_confirmed
2016Q3,2016-07-01,CS Abomey-Calavi,cured,54,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,failed,0,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,died,4,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,lost,6,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,completed,14,bacteriologically_confirmed
2017Q1,2017-01-01,CS Abomey-Calavi,cured,36,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,failed,2,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,unevaluated,2,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,died,6,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,lost,4,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,completed,7,bacteriologically_confirmed
2017Q4,2017-10-01,CS Abomey-Calavi,cured,35,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,failed,1,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,unevaluated,1,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,died,3,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,lost,5,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,completed,10,bacteriologically_confirmed
2017Q2,2017-04-01,CS Abomey-Calavi,cured,45,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,failed,2,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,unevaluated,0,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,died,1,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,lost,7,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,completed,8,bacteriologically_confirmed
2017Q3,2017-07-01,CS Abomey-Calavi,cured,29,bacteriologically_confirmed
2015Q4,2015-10-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2015Q4,2015-10-01,CS Abomey-Calavi,died,1,clinically_diagnosed
2015Q4,2015-10-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2015Q4,2015-10-01,CS Abomey-Calavi,completed,9,clinically_diagnosed
2015Q3,2015-07-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2015Q3,2015-07-01,CS Abomey-Calavi,died,1,clinically_diagnosed
2015Q3,2015-07-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2015Q3,2015-07-01,CS Abomey-Calavi,completed,4,clinically_diagnosed
2016Q1,2016-01-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2016Q1,2016-01-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2016Q1,2016-01-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2016Q1,2016-01-01,CS Abomey-Calavi,completed,11,clinically_diagnosed
2015Q2,2015-04-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2015Q2,2015-04-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2015Q2,2015-04-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2015Q2,2015-04-01,CS Abomey-Calavi,completed,4,clinically_diagnosed
2015Q1,2015-01-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2015Q1,2015-01-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2015Q1,2015-01-01,CS Abomey-Calavi,lost,1,clinically_diagnosed
2015Q1,2015-01-01,CS Abomey-Calavi,completed,7,clinically_diagnosed
2016Q4,2016-10-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2016Q4,2016-10-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2016Q4,2016-10-01,CS Abomey-Calavi,lost,10,clinically_diagnosed
2016Q4,2016-10-01,CS Abomey-Calavi,completed,1,clinically_diagnosed
2016Q2,2016-04-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2016Q2,2016-04-01,CS Abomey-Calavi,died,1,clinically_diagnosed
2016Q2,2016-04-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2016Q2,2016-04-01,CS Abomey-Calavi,completed,14,clinically_diagnosed
2016Q3,2016-07-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2016Q3,2016-07-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2016Q3,2016-07-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2016Q3,2016-07-01,CS Abomey-Calavi,completed,14,clinically_diagnosed
2017Q1,2017-01-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2017Q1,2017-01-01,CS Abomey-Calavi,died,0,clinically_diagnosed
2017Q1,2017-01-01,CS Abomey-Calavi,lost,9,clinically_diagnosed
2017Q1,2017-01-01,CS Abomey-Calavi,completed,1,clinically_diagnosed
2017Q4,2017-10-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2017Q4,2017-10-01,CS Abomey-Calavi,died,1,clinically_diagnosed
2017Q4,2017-10-01,CS Abomey-Calavi,lost,0,clinically_diagnosed
2017Q4,2017-10-01,CS Abomey-Calavi,completed,6,clinically_diagnosed
2017Q2,2017-04-01,CS Abomey-Calavi,unevaluated,0,clinically_diagnosed
2017Q2,2017-04-01,CS Abomey-Calavi,died,4,clinically_diagnosed
